static,dynamic,duration,type_comms,nb_deps_seq,chains_length,is_pipeline,nb_chains,topology,id_run
51578.28,205.07,837811.94,pull,5,3,True,1,star,4
58005.48,343.99,569289.51,pull,5,5,False,1,clique,1
64272.0,289.57,450104.6,pull_anticipation,3,3,False,3,star,5
7471.62,296.6,57960.98,push,3,3,False,3,clique,5
9881.82,125.32,161891.49,push,3,3,True,1,clique,3
10604.88,485.42,77024.68,push,5,3,False,3,clique,2
9881.82,209.08,161891.49,push,5,3,False,1,clique,3
10122.84,204.22,166007.83,push,5,3,False,1,clique,1
69895.8,223.16,682612.79,push,3,5,False,1,star,4
29806.14,291.57,210437.45,pull_anticipation,3,3,True,3,clique,0
4579.38,204.07,77024.68,push,5,3,True,1,star,2
6748.56,203.41,112581.69,pull_anticipation,5,3,True,1,clique,9
11488.62,206.04,116108.99,push,3,5,True,1,clique,7
28922.4,205.25,471321.76,push,5,3,False,1,star,6
8114.34,122.19,134203.53,pull_anticipation,3,3,False,1,clique,8
4579.38,203.27,77024.68,pull_anticipation,5,3,True,1,clique,2
15023.58,204.72,150164.19,pull_anticipation,3,5,False,1,clique,5
74314.5,562.58,284339.18,pull,3,5,False,3,clique,3
18799.56,204.56,307981.54,push,5,3,True,1,clique,4
10122.84,122.67,166007.83,push,3,3,False,1,clique,1
14220.18,496.07,102500.14,push,5,3,True,3,clique,6
6748.56,122.16,112581.69,pull_anticipation,3,3,False,1,clique,9
5945.16,203.28,100319.1,push,5,3,True,1,star,0
28922.4,122.69,471321.76,pull_anticipation,3,3,True,1,star,6
76323.0,289.59,534071.17,pull_anticipation,3,3,False,3,star,9
28922.4,122.68,471321.76,pull_anticipation,3,3,False,1,clique,6
19522.62,545.15,77214.83,pull_anticipation,3,5,False,3,clique,9
11327.94,122.2,185213.48,push,3,3,True,1,star,8
13175.76,205.42,132363.29,pull_anticipation,3,5,False,1,clique,3
10845.9,293.99,81501.46,push,3,3,False,3,clique,1
33501.78,204.34,544215.87,pull_anticipation,5,3,False,1,star,7
19281.6,290.29,140088.02,pull_anticipation,3,3,False,3,clique,0
46034.82,205.11,749285.97,pull,5,3,False,1,clique,9
14862.9,122.39,245037.11,pull,3,3,True,1,clique,7
77929.8,486.45,544215.87,pull,5,3,True,3,clique,7
9801.48,204.24,100319.1,push,3,5,True,1,star,0
54872.22,294.03,385798.67,pull,3,3,True,3,clique,3
33421.44,122.95,543578.02,pull_anticipation,3,3,False,1,star,1
18879.9,341.74,186793.87,push,5,5,True,1,star,8
26271.18,906.28,102500.14,pull_anticipation,5,5,False,3,clique,6
40250.34,500.51,284601.25,push,5,3,False,3,star,2
6748.56,122.11,112581.69,push,3,3,True,1,clique,9
17433.78,290.69,124607.56,pull_anticipation,3,3,True,3,clique,1
12774.06,122.36,210177.07,pull_anticipation,3,3,False,1,star,0
42821.22,206.01,421313.22,pull_anticipation,3,5,False,1,star,2
80420.34,489.6,562014.45,pull,5,3,False,3,clique,3
6748.56,204.13,112581.69,push,5,3,False,1,star,9
27556.62,927.86,108898.72,pull_anticipation,5,5,False,3,clique,3
203340.54,546.01,764470.95,pull_anticipation,3,5,True,3,star,4
9078.42,203.5,150164.19,pull_anticipation,5,3,False,1,clique,5
21450.78,125.37,350528.62,push,3,3,True,1,clique,5
12854.4,480.06,93265.44,pull_anticipation,5,3,False,3,clique,9
33421.44,204.68,543578.02,pull_anticipation,5,3,True,1,star,1
13175.76,479.11,96854.87,pull_anticipation,5,3,False,3,clique,5
30127.5,343.13,295564.8,pull_anticipation,5,5,True,1,clique,5
55675.62,350.75,544215.87,push,5,5,True,1,star,7
6909.24,204.13,115033.51,push,5,3,True,1,star,7
48043.32,205.76,471321.76,pull_anticipation,3,5,True,1,star,6
18719.22,508.74,134203.53,push,5,3,False,3,clique,8
21049.08,225.8,209313.48,push,3,5,True,1,clique,9
8114.34,122.61,134203.53,push,3,3,False,1,clique,8
11327.94,203.43,185213.48,push,5,3,True,1,star,8
46195.5,204.7,752673.49,pull,5,3,True,1,star,5
14862.9,301.99,108099.15,push,3,3,False,3,clique,4
149111.04,540.77,561859.23,pull_anticipation,3,5,True,3,star,1
39768.3,123.21,647854.07,pull,3,3,True,1,star,3
21049.08,207.0,209313.48,pull_anticipation,3,5,True,1,clique,9
27476.28,208.05,447316.23,push,5,3,True,1,clique,1
40491.36,205.48,658662.35,pull,5,3,False,1,clique,1
76644.36,289.94,538103.87,pull_anticipation,3,3,False,3,star,4
55675.62,205.65,543578.02,pull_anticipation,3,5,True,1,star,1
10845.9,287.27,81501.46,pull_anticipation,3,3,False,3,clique,1
67244.58,287.62,471734.55,pull_anticipation,3,3,True,3,star,6
68530.02,288.99,478701.28,pull_anticipation,3,3,False,3,star,0
56077.32,207.17,550111.19,pull,3,5,False,1,clique,7
24343.02,341.44,241690.24,pull_anticipation,5,5,False,1,clique,6
35670.96,354.27,350528.62,push,5,5,False,1,star,5
153449.4,946.03,577050.37,pull,5,5,True,3,clique,9
57925.14,554.25,220039.59,pull,3,5,False,3,clique,2
14220.18,479.87,103290.41,pull_anticipation,5,3,False,3,clique,2
37599.12,123.27,611444.06,pull,3,3,True,1,star,5
33421.44,204.19,543578.02,pull_anticipation,5,3,False,1,star,1
32457.36,344.17,319511.22,pull_anticipation,5,5,True,1,clique,3
173775.42,294.36,1209923.44,pull,3,3,False,3,star,1
203340.54,668.3,764470.95,push,3,5,False,3,star,4
40250.34,488.38,284601.25,push,5,3,True,3,star,2
29806.14,1161.84,116492.98,push,5,5,True,3,clique,7
15666.3,289.61,112898.5,pull_anticipation,3,3,True,3,clique,9
21450.78,125.02,350528.62,push,3,3,True,1,star,5
138506.16,291.73,967570.97,pull,3,3,True,3,star,1
49971.48,293.41,350528.62,push,3,3,True,3,star,5
12854.4,302.58,93265.44,push,3,3,True,3,clique,9
68931.72,345.73,674761.67,pull,5,5,True,1,clique,9
9801.48,203.56,100319.1,pull_anticipation,3,5,True,1,star,0
62183.16,124.22,1009768.8,pull,3,3,False,1,star,3
48846.72,935.6,186670.27,pull_anticipation,5,5,True,3,clique,7
69895.8,206.82,682612.79,pull_anticipation,3,5,False,1,star,4
117376.74,489.68,819619.62,pull,5,3,True,3,clique,4
62665.2,301.33,439261.07,push,3,3,False,3,star,3
46275.84,205.47,752747.76,pull,5,3,True,1,clique,1
48043.32,341.81,471321.76,pull_anticipation,5,5,True,1,star,6
6748.56,122.16,112581.69,pull_anticipation,3,3,False,1,star,9
28922.4,123.49,471321.76,push,3,3,False,1,star,6
10845.9,489.51,81501.46,push,5,3,False,3,clique,1
5945.16,122.56,100319.1,push,3,3,False,1,clique,0
69574.44,205.57,1130440.94,pull,5,3,True,1,star,7
8114.34,204.16,134203.53,push,5,3,False,1,clique,8
314852.46,1197.63,1182070.26,push,5,5,True,3,star,8
11890.32,994.77,49200.15,push,5,5,False,3,clique,6
69895.8,124.46,1134820.29,pull,3,3,False,1,star,1
44187.0,559.33,171251.13,pull_anticipation,3,5,True,3,clique,2
55675.62,211.25,544215.87,push,3,5,True,1,star,7
5945.16,122.4,100319.1,push,3,3,True,1,clique,0
55675.62,209.81,543578.02,push,3,5,True,1,star,1
15987.66,540.88,116108.99,push,5,3,False,3,clique,7
17755.14,517.51,128026.81,push,5,3,True,3,clique,5
74876.88,124.61,1217285.32,pull,3,3,False,1,star,7
36795.72,933.59,142092.56,pull_anticipation,5,5,True,3,clique,0
27476.28,123.31,447316.23,pull_anticipation,3,3,True,1,clique,1
49248.42,780.91,190658.83,push,3,5,True,3,clique,8
17433.78,211.94,173757.18,push,3,5,True,1,clique,2
6909.24,122.9,115033.51,push,3,3,False,1,clique,7
24343.02,205.39,241690.24,pull_anticipation,3,5,False,1,clique,6
13175.76,341.59,132363.29,pull_anticipation,5,5,False,1,clique,3
78492.18,207.02,767898.92,pull,3,5,True,1,star,8
24021.66,203.89,392631.37,pull_anticipation,5,3,False,1,star,8
38081.16,207.44,374401.14,pull,3,5,True,1,clique,2
40089.66,206.53,392642.51,pull,3,5,True,1,clique,8
66200.16,303.67,464050.15,push,3,3,False,3,star,8
59612.28,345.0,585400.36,pull,5,5,True,1,clique,8
6909.24,204.66,115033.51,push,5,3,False,1,clique,7
158992.86,540.71,600437.61,pull_anticipation,3,5,True,3,star,9
23218.26,290.35,167608.66,pull_anticipation,3,3,False,3,clique,7
17594.46,650.35,69880.32,push,3,5,False,3,clique,4
57764.46,205.11,939420.48,pull,5,3,True,1,star,1
21450.78,208.39,350528.62,push,5,3,True,1,clique,5
26994.24,480.08,190943.31,pull_anticipation,5,3,True,3,clique,6
115850.28,208.41,1130440.94,pull,3,5,True,1,star,7
91025.22,345.07,888933.38,pull,5,5,False,1,clique,7
74957.22,344.56,732402.48,pull,5,5,True,1,clique,4
416723.58,557.0,1561617.22,pull,3,5,True,3,star,7
158912.52,956.38,599017.42,push,5,5,True,3,star,7
55675.62,341.91,544215.87,pull_anticipation,5,5,True,1,star,7
77849.46,293.66,545357.41,pull,3,3,True,3,clique,8
19843.98,1040.3,77627.63,push,5,5,False,3,clique,8
18799.56,124.6,307981.54,push,3,3,False,1,star,4
37438.44,294.49,265034.4,push,3,3,True,3,star,9
401298.3,909.87,1506756.74,pull,5,5,True,3,star,0
31493.28,204.34,513618.33,pull_anticipation,5,3,False,1,star,3
50533.86,564.79,194484.46,pull_anticipation,3,5,True,3,clique,5
23298.6,551.62,93290.13,pull_anticipation,3,5,False,3,clique,2
61058.4,972.45,233668.1,push,3,5,True,3,clique,9
19442.28,122.74,319511.22,pull_anticipation,3,3,True,1,clique,3
112074.3,939.54,424861.07,pull,5,5,False,3,clique,0
87731.28,206.56,1424856.46,pull,5,3,False,1,star,8
18879.9,206.09,186793.87,push,3,5,False,1,star,8
90302.16,486.77,632286.45,pull,5,3,False,3,clique,6
41937.48,123.59,682612.79,pull,3,3,False,1,clique,4
70217.16,296.26,491675.79,pull,3,3,True,3,clique,0
9801.48,204.71,100319.1,push,3,5,False,1,star,0
48846.72,565.08,186670.27,pull_anticipation,3,5,True,3,clique,7
30609.54,552.64,119104.16,pull_anticipation,3,5,False,3,clique,4
9881.82,203.25,161307.04,pull_anticipation,5,3,False,1,clique,7
21450.78,204.5,350528.62,pull_anticipation,5,3,True,1,star,5
17594.46,1076.33,69880.32,push,5,5,False,3,clique,4
116332.32,208.13,1135353.16,pull,3,5,True,1,star,0
115528.92,344.39,1126999.1,pull_anticipation,5,5,False,1,star,6
5945.16,203.55,100319.1,push,5,3,False,1,star,0
66200.16,301.61,464050.15,push,3,3,True,3,star,8
19442.28,122.64,319511.22,pull_anticipation,3,3,False,1,clique,3
23218.26,482.27,167608.66,pull_anticipation,5,3,False,3,clique,7
66200.16,288.52,464050.15,pull_anticipation,3,3,False,3,star,8
70297.5,559.56,268451.86,pull,3,5,False,3,clique,5
102192.48,954.65,385574.37,push,5,5,False,3,star,5
17433.78,342.2,173757.18,pull_anticipation,5,5,True,1,clique,2
69895.8,342.81,682612.79,pull_anticipation,5,5,False,1,star,4
52462.02,224.41,513737.46,push,3,5,False,1,star,3
109182.06,207.26,1772048.42,pull,5,3,False,1,star,1
10122.84,203.48,166007.83,pull_anticipation,5,3,False,1,clique,1
77849.46,525.06,543578.02,push,5,3,False,3,star,1
126937.2,942.46,479650.8,pull,5,5,False,3,clique,9
44990.4,123.69,732402.48,pull,3,3,True,1,star,4
23780.64,482.85,171251.13,pull_anticipation,5,3,True,3,clique,2
49971.48,297.69,350528.62,push,3,3,False,3,star,5
74957.22,375.79,732402.48,push,5,5,False,1,star,4
9881.82,125.63,161891.49,push,3,3,False,1,clique,3
69815.46,205.59,1135353.16,pull,5,3,True,1,star,0
9962.16,204.49,99536.25,pull_anticipation,3,5,False,1,clique,9
11649.3,340.89,116654.45,pull_anticipation,5,5,False,1,clique,2
6748.56,203.39,112581.69,pull_anticipation,5,3,False,1,clique,9
6909.24,122.1,115033.51,pull_anticipation,3,3,True,1,clique,7
19522.62,906.6,77214.83,pull_anticipation,5,5,False,3,clique,9
62665.2,296.1,439261.07,push,3,3,True,3,star,3
67405.26,206.67,658662.35,pull_anticipation,3,5,False,1,star,1
36876.06,204.66,599161.3,pull,5,3,True,1,clique,8
61058.4,559.65,233668.1,pull,3,5,False,3,clique,9
125009.04,581.81,471734.55,push,3,5,False,3,star,6
23780.64,541.83,171251.13,push,5,3,True,3,clique,2
8757.06,605.67,37970.25,push,3,5,False,3,clique,3
8596.38,208.54,89069.59,push,3,5,False,1,clique,4
25949.82,913.33,101191.58,pull_anticipation,5,5,False,3,clique,8
7632.3,207.28,77214.83,push,3,5,False,1,clique,9
18879.9,215.12,186793.87,push,3,5,True,1,clique,8
67244.58,506.6,471734.55,push,5,3,False,3,star,6
68530.02,498.65,478701.28,push,5,3,True,3,star,0
5945.16,122.06,100319.1,push,3,3,True,1,star,0
50533.86,936.75,194484.46,pull_anticipation,5,5,True,3,clique,5
42580.2,123.13,692450.2,pull,3,3,True,1,star,6
61058.4,566.62,233668.1,pull_anticipation,3,5,True,3,clique,9
104361.66,491.5,729644.38,pull,5,3,True,3,clique,0
35670.96,349.52,350528.62,push,5,5,True,1,star,5
23298.6,915.92,93290.13,pull_anticipation,5,5,False,3,clique,2
418009.02,357.35,4067852.73,pull,5,5,False,1,star,0
93515.76,206.68,1518565.52,pull,5,3,False,1,star,7
91105.56,566.75,345331.83,pull,3,5,True,3,clique,8
158992.86,898.2,600437.61,pull_anticipation,5,5,True,3,star,9
158028.78,294.22,1099787.83,pull,3,3,False,3,star,2
76323.0,344.71,744640.37,pull,5,5,False,1,clique,6
58889.22,291.05,412866.4,pull,3,3,True,3,clique,6
90302.16,345.69,882180.2,pull,5,5,False,1,clique,0
69895.8,358.65,682612.79,push,5,5,True,1,star,4
30529.2,344.14,299412.37,pull_anticipation,5,5,True,1,clique,1
14782.56,340.32,147394.14,pull_anticipation,5,5,False,1,clique,4
238047.42,550.1,893911.4,pull_anticipation,3,5,True,3,star,2
9399.78,209.15,96854.87,push,3,5,False,1,clique,5
29806.14,484.11,210437.45,pull_anticipation,5,3,True,3,clique,0
162527.82,484.04,1131768.58,pull,5,3,True,3,star,8
66200.16,479.22,464050.15,pull_anticipation,5,3,False,3,star,8
95122.56,206.59,1543734.1,pull,5,3,False,1,star,3
55675.62,341.49,543578.02,pull_anticipation,5,5,True,1,star,1
7792.98,204.77,81501.46,pull_anticipation,3,5,False,1,clique,1
52221.0,205.21,849527.44,pull,5,3,True,1,clique,3
30689.88,355.46,303902.45,push,5,5,False,1,star,2
66682.2,289.17,467043.61,pull,3,3,True,3,star,2
158912.52,576.69,599017.42,push,3,5,True,3,star,7
100023.3,569.36,378317.75,pull,3,5,True,3,clique,1
158912.52,635.75,599017.42,push,3,5,False,3,star,7
158912.52,953.5,599017.42,pull,5,5,True,3,clique,7
18879.9,341.18,186793.87,pull_anticipation,5,5,True,1,clique,8
29565.12,342.02,289961.19,pull_anticipation,5,5,True,1,star,9
48043.32,356.72,471321.76,push,5,5,False,1,star,6
54631.2,560.51,209298.59,pull,3,5,False,3,clique,1
76644.36,528.74,538103.87,push,5,3,False,3,star,4
37438.44,287.05,265034.4,pull_anticipation,3,3,True,3,star,9
112234.98,343.97,1096885.38,pull,5,5,True,1,star,3
77849.46,481.95,543578.02,pull_anticipation,5,3,True,3,star,1
152967.36,482.13,1065614.21,pull,5,3,True,3,star,6
77929.8,290.12,544215.87,pull_anticipation,3,3,False,3,star,7
40250.34,287.45,284601.25,pull_anticipation,3,3,True,3,star,2
48927.06,292.89,343131.42,pull,3,3,False,3,clique,2
36795.72,739.08,142092.56,push,3,5,True,3,clique,0
18799.56,124.6,307981.54,push,3,3,False,1,clique,4
18719.22,289.39,134203.53,pull_anticipation,3,3,False,3,clique,8
41937.48,123.71,682612.79,pull,3,3,True,1,clique,4
36233.34,827.34,139727.63,push,3,5,True,3,clique,4
23780.64,290.51,171251.13,pull_anticipation,3,3,True,3,clique,2
213945.42,486.61,1491144.09,pull,5,3,True,3,star,4
145335.06,344.85,1416632.98,pull,5,5,True,1,star,7
158992.86,612.94,600437.61,push,3,5,True,3,star,9
33421.44,123.29,543578.02,pull,3,3,False,1,clique,1
65396.76,208.5,638053.7,pull,3,5,True,1,clique,5
158912.52,899.86,599017.42,pull_anticipation,5,5,True,3,star,7
125009.04,917.97,471734.55,push,5,5,True,3,star,6
11327.94,122.32,185213.48,pull_anticipation,3,3,True,1,clique,8
40250.34,293.76,284601.25,push,3,3,True,3,star,2
88775.7,345.56,864657.52,pull,5,5,False,1,clique,5
78492.18,343.41,767898.92,pull_anticipation,5,5,False,1,star,8
79938.3,564.84,304233.27,pull,3,5,False,3,clique,4
77528.1,291.8,542471.27,pull,3,3,True,3,clique,4
127660.26,209.21,1244523.53,pull_anticipation,3,5,False,1,star,3
5945.16,203.37,100319.1,pull_anticipation,5,3,False,1,clique,0
17996.16,290.82,128484.47,pull_anticipation,3,3,True,3,clique,3
6186.18,122.02,103290.41,pull_anticipation,3,3,False,1,clique,2
77046.06,206.71,750847.86,pull,3,5,True,1,star,4
5945.16,203.06,100319.1,pull_anticipation,5,3,True,1,star,0
127660.26,345.21,1244523.53,pull_anticipation,5,5,False,1,star,3
8757.06,1007.59,37970.25,push,5,5,False,3,clique,3
30689.88,1139.02,120690.86,push,5,5,True,3,clique,6
33421.44,123.26,545357.41,pull,3,3,True,1,clique,8
21049.08,343.86,209313.48,pull_anticipation,5,5,True,1,clique,9
18638.88,354.07,186077.26,push,5,5,True,1,clique,2
17192.76,290.02,123979.03,pull_anticipation,3,3,True,3,clique,7
76323.0,480.4,534071.17,pull_anticipation,5,3,False,3,star,9
49971.48,494.33,350528.62,push,5,3,False,3,star,5
11890.32,598.81,49200.15,push,3,5,False,3,clique,6
89739.78,572.47,339189.66,pull,3,5,True,3,clique,0
49971.48,477.96,350528.62,pull_anticipation,5,3,True,3,star,5
60013.98,343.83,589345.12,pull,5,5,False,1,clique,2
127338.9,989.15,479898.72,push,5,5,False,3,star,0
14862.9,502.73,108099.15,push,5,3,False,3,clique,4
9078.42,122.26,150164.19,pull_anticipation,3,3,False,1,clique,5
152163.96,346.63,1483287.02,pull,5,5,True,1,star,2
56880.72,566.75,217761.18,pull_anticipation,3,5,True,3,clique,1
35028.24,706.05,134059.6,push,3,5,True,3,clique,3
102995.88,928.21,390189.64,pull,5,5,False,3,clique,6
6909.24,204.66,115033.51,push,5,3,False,1,star,7
67405.26,345.62,658662.35,pull,5,5,True,1,clique,1
54470.52,205.17,885560.29,pull,5,3,False,1,clique,6
100826.7,488.02,704044.65,pull,5,3,True,3,clique,8
24503.7,205.91,241476.45,pull_anticipation,3,5,True,1,clique,4
184299.96,211.68,1794563.83,pull,3,5,False,1,star,9
151280.22,952.01,569435.71,pull,5,5,True,3,clique,3
37599.12,123.39,611444.06,pull,3,3,False,1,clique,5
6748.56,122.58,112581.69,push,3,3,False,1,star,9
19522.62,1081.56,77214.83,push,5,5,False,3,clique,9
